,urn,public_domain,license,actions
5283,URN:NBN:no-nb_digibok_2009043012002,False,copyrighted,['download']
5284,URN:NBN:no-nb_digibok_2015112708180,False,bokhylla,
5285,URN:NBN:no-nb_digibok_2019040826001,True,publicdomain,['download']
5286,URN:NBN:no-nb_digibok_2009020603012,True,publicdomain,['download']
5287,URN:NBN:no-nb_digibok_2009051112006,True,publicdomain,['download']
5288,URN:NBN:no-nb_digibok_2016030907021,False,copyrighted,['download']
5289,URN:NBN:no-nb_digibok_2009020500077,False,bokhylla,
5290,URN:NBN:no-nb_digibok_2022011448505,False,bokhylla,
5291,URN:NBN:no-nb_digibok_2010070206111,True,publicdomain,['download']
5292,URN:NBN:no-nb_digibok_2013072408064,True,publicdomain,['download']
5293,URN:NBN:no-nb_digibok_2017032448044,False,copyrighted,['download']
5294,URN:NBN:no-nb_digibok_2012070408344,True,publicdomain,['download']
